Coin Name,Price,1h,24h,7d,30d,24h Volume,Circulating Supply,Total Supply,Market Cap,Price_to_MarketCap_Ratio,Volatility_Index
Oasis Network,0.07,0.2,1.2,-2.0,60.9,5746712.0,5029357184.0,10000000000.0,348498824.0,2.0086150993726168e-10,0.7
Oasys,0.06,2.1,2.8,-3.5,47.8,1089221.0,1063518671.0,10000000000.0,63194324.0,9.494523590441444e-10,2.45
Ocean Protocol,0.46,0.9,-2.1,11.3,54.1,5746712.0,434026837.0,1.41,198930161.0,2.3123693143746063e-09,-0.6000000000000001
Olympus,11.4,-0.1,-0.1,0.4,-2.4,5746712.0,16365246.0,26.8,186476204.0,6.113380557660859e-08,-0.1
Ontology,0.21,0.0,-4.8,-9.4,13.8,7812163.0,896397857.0,1000000000.0,184624659.0,1.1374428591361677e-09,-2.4
Open Campus,0.56,0.2,-8.5,-6.7,34.9,15624072.0,354412760.0,120000000.0,117299078.0,4.774121071949091e-09,-4.15
Open Exchange Token,0.01,-3.3,2.2,-26.3,-14.2,636515.0,5475687806.0,5.48,66140615.0,1.5119303018274023e-10,-0.5499999999999998
Optimism,1.71,1.0,0.9,-7.5,33.1,145187244.0,880917403.0,4.29,1503698590.0,1.1371959855332444e-09,0.95
Oraichain,3.97,-0.2,4.8,3.5,56.2,2710471.0,14692224.0,120000000.0,58525257.0,6.783396098542549e-08,2.3
Orbs,0.04,0.6,-2.7,-13.7,-9.0,7594847.0,3217486459.0,10000000000.0,133108128.0,3.0050756930485867e-10,-1.05
Orca,2.23,-0.1,5.0,-5.8,135.4,626672.0,43116815.0,100000000.0,96213197.0,2.317769359644083e-08,2.45
Orchid Protocol,0.07,0.3,-7.7,-4.8,11.0,7143199.0,591544729.0,1000000000.0,41366824.0,1.6921772868035507e-09,-3.7
Origin Ether,2020.46,0.3,1.7,0.8,21.5,1257265.0,39039.0,39000.0,98370357.0,2.0539317550712967e-05,1.0
Origin Protocol,0.615,0.2,-4.3,-3.5,1.1,11972977.0,354412760.0,1000000000.0,56997811.0,1.0789888053771048e-08,-2.05
