iso,country,continent,2040,2041,2042,2043,2044
LAO,Laos,Asia,40.62,41.52,44.55,45.24,45.12
MDG,Madagascar,Africa,40.56,42.18,41.79,42.45,43.22
SOM,Somalia,Africa,43.25,43.31,43.45,43.29,43.21
GTM,Guatemala,North America,40.97,42.26,41.01,43.77,42.70
GIN,Guinea,Africa,37.93,39.73,41.09,40.65,42.58
DNK,Denmark,Europe,48.79,45.20,42.91,44.29,42.51
CHE,Switzerland,Europe,44.98,44.76,42.33,44.05,40.67
NIC,Nicaragua,North America,38.51,38.97,38.96,39.35,39.62
SEN,Senegal,Africa,33.35,34.42,35.44,37.72,39.49
TUN,Tunisia,Africa,39.13,38.68,38.28,40.22,39.33
LKA,Sri Lanka,Asia,36.26,38.82,38.59,38.64,36.49
URY,Uruguay,South America,34.65,35.05,34.30,37.30,36.28
JOR,Jordan,Asia,36.10,34.72,32.85,34.11,36.08
SVK,Slovakia,Europe,39.03,37.01,34.96,37.98,35.30
SWE,Sweden,Europe,36.26,35.81,34.55,36.80,34.05
AFG,Afghanistan,Asia,32.87,33.21,34.31,33.00,32.89
NOR,Norway,Europe,34.45,33.20,31.80,32.11,31.50
COG,Congo,Unknown,29.59,30.81,30.10,29.00,31.25
CUB,Cuba,North America,38.85,34.23,29.74,32.59,30.09
HND,Honduras,North America,27.73,28.77,29.31,29.08,29.36
YEM,Yemen,Asia,28.22,29.81,28.86,28.85,28.06
BEN,Benin,Africa,26.77,27.24,27.47,25.77,26.46
TTO,Trinidad and Tobago,North America,27.87,27.53,25.42,23.37,24.33
BIH,Bosnia and Herzegovina,Europe,26.10,24.37,24.34,24.00,24.00
PAN,Panama,North America,21.67,25.06,21.74,23.22,23.98
LTU,Lithuania,Europe,24.00,24.12,24.12,24.48,23.67
NAM,Namibia,Africa,21.70,20.72,23.38,24.40,22.12
GAB,Gabon,Africa,20.67,21.69,21.38,20.83,21.52
MWI,Malawi,Africa,19.13,20.15,20.82,20.76,21.29
BGR,Bulgaria,Europe,19.50,17.68,12.58,18.18,19.78
GUY,Guyana,South America,17.49,17.83,18.72,18.64,19.71
GEO,Georgia,Africa,16.96,17.52,17.32,17.95,19.17
TJK,Tajikistan,Asia,15.91,17.31,17.85,18.14,18.59
LBN,Lebanon,Asia,34.29,34.14,29.23,24.30,18.18
HRV,Croatia,Europe,17.86,17.95,17.04,17.72,17.96
GHA,Ghana,Africa,10.69,12.43,16.90,17.05,17.82
EST,Estonia,Europe,23.48,17.81,14.80,16.05,17.62
SVN,Slovenia,Europe,17.31,16.87,15.63,15.90,15.51
